age (years),height (cm)
2.041666667,80.26037074
2.125,81.0052937
2.208333333,81.7341574
2.291666667,82.44845648
2.375,83.14944982
2.458333333,83.83819399
2.541666667,84.51558277
2.625,85.18238019
2.708333333,85.83925011
2.791666667,86.48678276
2.875,87.12551862
2.958333333,87.75596799
3.041666667,88.37863651
3.125,88.93297086
3.208333333,89.47916294
3.291666667,90.01765704
3.375,90.54890623
3.458333333,91.07337426
3.541666667,91.59152368
3.625,92.10382052
3.708333333,92.6107295
3.791666667,93.11271174
3.875,93.61022262
3.958333333,94.10370972
4.041666667,94.59361093
4.125,95.08035263
4.208333333,95.56434805
4.291666667,96.04599748
4.375,96.52567713
4.458333333,97.00375833
4.541666667,97.48058355
4.625,97.95647862
4.708333333,98.43174768
4.791666667,98.90667254
4.875,99.3815118
4.958333333,99.85650001
5.041666667,100.331847
5.125,100.8077371
5.208333333,101.2843288
5.291666667,101.7617545
5.375,102.2401199
5.458333333,102.719504
5.541666667,103.1999595
5.625,103.6815122
5.708333333,104.164162
5.791666667,104.6478827
5.875,105.1326221
5.958333333,105.6183068
6.041666667,106.1048359
6.125,106.592087
6.208333333,107.0799166
6.291666667,107.5681606
6.375,108.0566359
6.458333333,108.5451423
6.541666667,109.0334636
6.625,109.5213695
6.708333333,110.0086174
6.791666667,110.4949545
6.875,110.9801192
6.958333333,111.4638437
7.041666667,111.9458554
7.125,112.4258796
7.208333333,112.9036412
7.291666667,113.3788664
7.375,113.8512827
7.458333333,114.3206308
7.541666667,114.7866522
7.625,115.2491001
7.708333333,115.7077388
7.791666667,116.1623461
7.875,116.6127146
7.958333333,117.0586529
8.041666667,117.4999879
8.125,117.9365657
8.208333333,118.3682526
8.291666667,118.794937
8.375,119.2165297
8.458333333,119.6329654
8.541666667,120.0442031
8.625,120.450227
8.708333333,120.8510473
8.791666667,121.2467001
8.875,121.6372483
8.958333333,122.0227817
9.041666667,122.4034171
9.125,122.7792983
9.208333333,123.1505962
9.291666667,123.5175084
9.375,123.8802592
9.458333333,124.2390993
9.541666667,124.5943049
9.625,124.9461775
9.708333333,125.2950434
9.791666667,125.6412524
9.875,125.9851773
9.958333333,126.3272131
10.04166667,126.6677753
10.125,127.0072991
10.20833333,127.3462381
10.29166667,127.6850624
10.375,128.0242572
10.45833333,128.3643208
10.54166667,128.7057627
10.625,129.0491015
10.70833333,129.394862
10.79166667,129.7435732
10.875,130.095765
10.95833333,130.4519655
11.04166667,130.8126976
11.125,131.1784756
11.20833333,131.5498015
11.29166667,131.9271616
11.375,132.311022
11.45833333,132.7018251
11.54166667,133.0999854
11.625,133.5058853
11.70833333,133.9198714
11.79166667,134.34225
11.875,134.773284
11.95833333,135.2131887
12.04166667,135.6621289
12.125,136.1202156
12.20833333,136.5875035
12.29166667,137.0639883
12.375,137.5496052
12.45833333,138.0442266
12.54166667,138.5476617
12.625,139.0596548
12.70833333,139.5798855
12.79166667,140.1079685
12.875,140.6434536
12.95833333,141.1858268
13.04166667,141.7345116
13.125,142.2888712
13.20833333,142.8482077
13.29166667,143.4117718
13.375,143.9787585
13.45833333,144.5483179
13.54166667,145.1195552
13.625,145.6915401
13.70833333,146.2633119
13.79166667,146.8338868
13.875,147.4022657
13.95833333,147.9674393
14.04166667,148.5284089
14.125,149.0841789
14.20833333,149.6337753
14.29166667,150.1762526
14.375,150.7107013
14.45833333,151.2362566
14.54166667,151.7521046
14.625,152.2574887
14.70833333,152.7517151
14.79166667,153.2341567
14.875,153.7042563
14.95833333,154.1615288
15.04166667,154.6055622
15.125,155.0360175
15.20833333,155.452628
15.29166667,155.8551976
15.375,156.243598
15.45833333,156.6177662
15.54166667,156.9777005
15.625,157.3234565
15.70833333,157.6551432
15.79166667,157.9729166
15.875,158.2769793
15.95833333,158.5675712
2.041666667,81.08868489
2.125,81.83445202
2.208333333,82.56406112
2.291666667,83.27898582
2.375,83.98045262
2.458333333,84.66948449
2.541666667,85.3469433
2.625,86.01356554
2.708333333,86.66999332
2.791666667,87.31680155
2.875,87.95452162
2.958333333,88.58366128
3.041666667,89.20472611
3.125,89.77301106
3.208333333,90.33305814
3.291666667,90.88532031
3.375,91.43025486
3.458333333,91.96832362
3.541666667,92.4999858
3.625,93.02569976
3.708333333,93.54591978
3.791666667,94.06109422
3.875,94.57166376
3.958333333,95.07805975
4.041666667,95.58070273
4.125,96.08000091
4.208333333,96.57634888
4.291666667,97.07012724
4.375,97.56169654
4.458333333,98.05140652
4.541666667,98.53958366
4.625,99.026537
4.708333333,99.51255522
4.791666667,99.99790605
4.875,100.4828356
4.958333333,100.9675675
5.041666667,101.4523027
5.125,101.9372185
5.208333333,102.4224687
5.291666667,102.908183
5.375,103.3944666
5.458333333,103.8814006
5.541666667,104.3690418
5.625,104.8574227
5.708333333,105.3465519
5.791666667,105.8364145
5.875,106.3269721
5.958333333,106.8181654
6.041666667,107.3099116
6.125,107.8021076
6.208333333,108.2946307
6.291666667,108.7873391
6.375,109.2800738
6.458333333,109.7726591
6.541666667,110.2649049
6.625,110.7566073
6.708333333,111.247551
6.791666667,111.7375104
6.875,112.2262515
6.958333333,112.7135338
7.041666667,113.1991118
7.125,113.6827373
7.208333333,114.1641607
7.291666667,114.6431334
7.375,115.1194078
7.458333333,115.5927447
7.541666667,116.0629074
7.625,116.5296686
7.708333333,116.9928104
7.791666667,117.4521263
7.875,117.9074226
7.958333333,118.3585201
8.041666667,118.8052553
8.125,119.2474816
8.208333333,119.6850711
8.291666667,120.1179149
8.375,120.5459248
8.458333333,120.9690339
8.541666667,121.3871973
8.625,121.8003934
8.708333333,122.2086239
8.791666667,122.6119145
8.875,123.0103156
8.958333333,123.4039024
9.041666667,123.7927752
9.125,124.1770596
9.208333333,124.5569064
9.291666667,124.9324922
9.375,125.3040185
9.458333333,125.6717122
9.541666667,126.035825
9.625,126.3966334
9.708333333,126.7544381
9.791666667,127.1095636
9.875,127.4623576
9.958333333,127.8131904
10.04166667,128.1624542
10.125,128.5105623
10.20833333,128.857948
10.29166667,129.2050634
10.375,129.5523785
10.45833333,129.9003795
10.54166667,130.2495672
10.625,130.6004555
10.70833333,130.9535693
10.79166667,131.309442
10.875,131.6686134
10.95833333,132.031627
11.04166667,132.3990267
11.125,132.771354
11.20833333,133.1491442
11.29166667,133.5329226
11.375,133.9232006
11.45833333,134.3204714
11.54166667,134.7252055
11.625,135.1378458
11.70833333,135.5588028
11.79166667,135.9884501
11.875,136.4271185
11.95833333,136.8750919
12.04166667,137.3326017
12.125,137.7998222
12.20833333,138.2768661
12.29166667,138.7637799
12.375,139.2605402
12.45833333,139.7670498
12.54166667,140.2831346
12.625,140.8085414
12.70833333,141.3429356
12.79166667,141.8859002
12.875,142.4369354
12.95833333,142.9954591
13.04166667,143.5608087
13.125,144.1322433
13.20833333,144.7089466
13.29166667,145.2900346
13.375,145.8745579
13.45833333,146.4615117
13.54166667,147.0498421
13.625,147.6384567
13.70833333,148.226234
13.79166667,148.8120346
13.875,149.394712
13.95833333,149.9731226
14.04166667,150.5461431
14.125,151.1126739
14.20833333,151.6716544
14.29166667,152.2220718
14.375,152.7629701
14.45833333,153.2934582
14.54166667,153.8127163
14.625,154.3200013
14.70833333,154.814651
14.79166667,155.2960861
14.875,155.7638123
14.95833333,156.2174196
15.04166667,156.6565818
15.125,157.0810539
15.20833333,157.4906696
15.29166667,157.8853369
15.375,158.2650343
15.45833333,158.6298055
15.54166667,158.9797544
15.625,159.31504
15.70833333,159.6358703
15.79166667,159.9424968
15.875,160.2352102
15.95833333,160.5143338
2.041666667,82.36400989
2.125,83.11387064
2.208333333,83.84716151
2.291666667,84.56534433
2.375,85.26961974
2.458333333,85.96098331
2.541666667,86.64027154
2.625,87.30820085
2.708333333,87.96540055
2.791666667,88.61244073
2.875,89.24985581
2.958333333,89.87816458
3.041666667,90.49788649
3.125,91.08607735
3.208333333,91.66588835
3.291666667,92.23778882
3.375,92.80224597
3.458333333,93.35972283
3.541666667,93.91067749
3.625,94.45556109
3.708333333,94.99481672
