price,bathrooms
221900,1
538000,2.25
180000,1
604000,3
510000,2
1.23E+06,4.5
257500,2.25
291850,1.5
229500,1
323000,2.5
662500,2.5
468000,1
310000,1
400000,1.75
530000,2
650000,3
395000,2
485000,1
189000,1
230000,1
385000,1.75
2.00E+06,2.75
285000,2.5
252700,1.5
329000,2.25
233000,2
937000,1.75
667000,1
438000,1.75
719000,2.5
580500,2.5
280000,1.5
687500,1.75
535000,1
322500,2.75
696000,2.5
550000,1
640000,2
240000,1
605000,2.5
625000,2.5
775000,2.25
861990,2.75
685000,1
309000,1
488000,2.5
210490,1
785000,2.5
450000,1.75
1.35E+06,2.5
228000,1
345000,2.5
600000,1.75
585000,1.75
920000,2.25
885000,2.5
292500,2.5
301000,2.5
951000,3.25
430000,3
650000,2.25
289000,1.75
505000,1.75
549000,1.75
425000,2.25
317625,2.75
975000,2.5
287000,2.5
204000,1
1.33E+06,2.25
1.04E+06,3.25
325000,2
571000,2
360000,2.5
349000,1.75
832500,4
380000,1.75
480000,1
410000,1
720000,2.5
390000,2.5
360000,2.5
355000,1
356000,1.5
315000,1
940000,1.5
305000,2.25
461000,3.25
215000,2.25
335000,1.75
243500,2.5
1.10E+06,2.75
153000,1
430000,1.5
700000,1.5
905000,2.5
247500,1.75
199000,1.5
314000,1.75
437500,2.5
850830,2.5
555000,2
699950,2.25
1.09E+06,2.5
290000,1
375000,2.5
460000,1
188500,1.75
680000,2.5
470000,1.75
597750,2.5
570000,1.75
272500,1.75
329950,1.75
480000,2.5
740500,3.5
518500,3.5
205425,1
171800,2
535000,1
660000,2.5
391500,2
395000,1
445000,1.75
770000,2.25
1.45E+06,2.75
445000,2.25
260000,2.25
822500,3.5
430000,2.5
212000,1.75
660500,2.25
784000,3.5
453246,2.5
675000,3.5
199000,1.75
220000,1.75
452000,2.25
382500,1
519950,2.25
665000,1
527700,2.5
205000,1
420000,1
500000,2.25
921500,2.5
890000,1
430000,2.5
258000,2
511000,1
532170,2
560000,1
282950,1
2.25E+06,3.25
350000,1
215000,1
650000,3.5
320000,2.75
247000,2
320000,1.75
255000,2.25
438000,1.75
900000,2.5
441000,2.75
420000,2
370000,1.75
269950,1.75
807100,2.5
653000,2.5
371500,2
284000,1.75
272000,1.75
313000,1.5
917500,2.5
673000,2.25
425000,2.5
399950,2.75
385000,1
269950,1.5
330000,1
260000,2.5
470000,3
589000,3
163500,1.5
835000,2.75
1.10E+06,3
269000,1.75
560000,2.5
615000,1
585188,2.25
305000,1.75
166950,1
799000,2.5
400000,2.5
230000,1
256883,2.5
423000,2
465000,2.5
440000,2.5
385000,1.75
210000,1
297000,2.5
470000,1
226500,1.5
274250,1
840000,1.75
677900,2.5
425000,1
180250,0.75
464000,3
320000,2.25
625504,2.25
592500,2.5
465000,2.5
477000,2.75
280000,1
1.51E+06,3
445838,2.5
1.07E+06,2.25
467000,1.5
686000,2.5
279950,2
527000,2.25
325000,2.25
328000,2.25
390000,2.25
479950,2
264950,2.25
235000,1
516500,2.5
655000,1.75
500000,2.75
315000,2.75
213000,1
475000,1.5
1.03E+06,4
416000,2
410000,1
800000,3.5
472000,2.5
225000,1.75
210000,1
455000,1
225000,1
480000,1
363000,2.5
2.40E+06,2.5
181000,1.5
250000,2
481000,1.75
260000,2
455000,2.5
415000,2.25
349500,1
245000,2.5
592500,2
