price,bedrooms
221900,3
538000,3
180000,2
604000,4
510000,3
1.23E+06,4
257500,3
291850,3
229500,3
323000,3
662500,3
468000,2
310000,3
400000,3
530000,5
650000,4
395000,3
485000,4
189000,2
230000,3
385000,4
2.00E+06,3
285000,5
252700,2
329000,3
233000,3
937000,3
667000,3
438000,3
719000,4
580500,3
280000,2
687500,4
535000,3
322500,4
696000,3
550000,4
640000,4
240000,4
605000,4
625000,4
775000,4
861990,5
685000,3
309000,3
488000,3
210490,3
785000,4
450000,3
1.35E+06,3
228000,3
345000,5
600000,3
585000,2
920000,5
885000,4
292500,4
301000,3
951000,5
430000,4
650000,3
289000,3
505000,3
549000,3
425000,3
317625,3
975000,4
287000,4
204000,3
1.33E+06,5
1.04E+06,5
325000,3
571000,4
360000,4
349000,3
832500,4
380000,4
480000,3
410000,3
720000,4
390000,3
360000,4
355000,2
356000,3
315000,3
940000,3
305000,5
461000,3
215000,2
335000,2
243500,4
1.10E+06,5
153000,3
430000,3
700000,3
905000,4
247500,3
199000,4
314000,3
437500,3
850830,3
555000,3
699950,3
1.09E+06,3
290000,3
375000,3
460000,3
188500,2
680000,4
470000,5
597750,4
570000,3
272500,3
329950,3
480000,4
740500,3
518500,3
205425,2
171800,4
535000,4
660000,3
391500,3
395000,2
445000,4
770000,3
1.45E+06,4
445000,3
260000,4
822500,5
430000,4
212000,3
660500,4
784000,3
453246,3
675000,4
199000,3
220000,4
452000,4
382500,2
519950,3
665000,2
527700,5
205000,3
420000,3
500000,4
921500,4
890000,4
430000,2
258000,5
511000,3
532170,3
560000,3
282950,3
2.25E+06,4
350000,1
215000,3
650000,5
320000,4
247000,3
320000,4
255000,5
438000,3
900000,3
441000,3
420000,3
370000,3
269950,2
807100,4
653000,3
371500,3
284000,3
272000,3
313000,3
917500,4
673000,4
425000,3
399950,5
385000,3
269950,3
330000,2
260000,3
470000,4
589000,4
163500,2
835000,4
1.10E+06,5
269000,4
560000,3
615000,4
585188,3
305000,3
166950,3
799000,3
400000,3
230000,3
256883,3
423000,4
465000,3
440000,3
385000,3
210000,3
297000,3
470000,3
226500,3
274250,3
840000,4
677900,3
425000,3
180250,2
464000,6
320000,4
625504,3
592500,4
465000,3
477000,4
280000,2
1.51E+06,5
445838,3
1.07E+06,2
467000,2
686000,4
279950,3
527000,4
325000,3
328000,3
390000,3
479950,2
264950,4
235000,3
516500,3
655000,2
500000,4
315000,6
213000,2
475000,3
1.03E+06,5
416000,3
410000,4
800000,3
472000,6
225000,3
210000,2
455000,2
225000,3
480000,2
363000,3
2.40E+06,4
181000,2
250000,4
481000,3
260000,3
455000,4
415000,3
349500,3
245000,3
592500,2
385000,4
315000,3
255000,3
693000,4
780000,3
237000,3
525000,3
425000,2
369900,1
290000,4
285000,3
415000,2
272500,3
2.90E+06,4
1.37E+06,4
436000,2
210000,3
236000,3
331000,3
365000,3
450000,3
770000,4
455000,4
405000,3
304900,4
170000,2
2.05E+06,5
780000,4
330000,3
370000,4
467000,5
405000,3
675000,5
500000,2
389999,4
630000,4
360000,4
580000,4
550000,3
879000,4
265000,3
446500,3
404000,3
267500,3
3.08E+06,4
335000,3
576000,3
208633,3
315000,3
725000,3
550000,4
610750,4
550700,2
665000,4
834000,4
201000,5
2.38E+06,5
1.38E+06,4
1.40E+06,4
305000,4
487000,3
390000,3
548000,2
268750,4
819900,5
520000,3
230000,3
240000,3
232000,2
240500,2
274975,3
740000,4
186375,3
790000,3
880000,4
279000,6
295000,3
640000,2
940000,4
260000,4
559900,3
791500,4
265000,3
245000,3
485000,4
684000,4
425000,3
309600,4
552250,4
165000,4
239900,4
320000,2
206600,3
387000,4
299000,1
855000,4
315000,3
437500,2
252000,4
375000,4
300000,4
420000,4
900000,3
679900,3
463000,3
380000,5
329500,4
604950,3
795000,5
465000,3
673000,4
810000,4
785000,4
338000,4
280000,3
315000,4
530000,4
380000,5
297000,3
730000,4
450000,3
275000,3
595000,4
435000,3
270000,2
950000,3
389000,4
560000,4
1.35E+06,5
799000,4
365500,3
252350,3
403950,4
385000,4
345000,4
490000,3
330000,3
927000,4
1.12E+06,4
330000,2
530000,5
365000,4
378750,3
269900,4
557000,3
360000,4
352000,2
437000,3
322500,4
650000,3
450000,3
278500,3
364950,4
840000,4
268000,3
517534,2
632925,3
577500,3
339000,4
570000,3
563500,4
423000,4
355000,3
1.55E+06,5
482000,2
625000,3
538000,3
380000,3
375000,2
245000,3
310000,5
1.30E+06,3
