price,sqft_lot
221900,5650
538000,7242
180000,10000
604000,5000
510000,8080
1.23E+06,101930
257500,6819
291850,9711
229500,7470
323000,6560
662500,9796
468000,6000
310000,19901
400000,9680
530000,4850
650000,5000
395000,14040
485000,4300
189000,9850
230000,9774
385000,4980
2.00E+06,44867
285000,6300
252700,9643
329000,6500
233000,4697
937000,2691
667000,1581
438000,6380
719000,7173
580500,3980
280000,1265
687500,5000
535000,3000
322500,6659
696000,3060
550000,34848
640000,6000
240000,8075
605000,7553
625000,5520
775000,24186
861990,5639
685000,2280
309000,9656
488000,13603
210490,8528
785000,13416
450000,5963
1.35E+06,65005
228000,9199
345000,9134
600000,4080
585000,8550
920000,6000
885000,5000
292500,4495
301000,4750
951000,14342
430000,9976
650000,21235
289000,8400
505000,8690
549000,1044
425000,6000
317625,3809
975000,11049
287000,4648
204000,12070
1.33E+06,20158
1.04E+06,50094
325000,5612
571000,7807
360000,5000
349000,50529
832500,35102
380000,7300
480000,5060
410000,5060
720000,39683
390000,5100
360000,5889
355000,6720
356000,8712
315000,6634
940000,3600
305000,8400
461000,6278
215000,2040
335000,1066
243500,7403
1.10E+06,6353
153000,10500
430000,5000
700000,5000
905000,10250
247500,15681
199000,6400
314000,41800
437500,36847
850830,13241
555000,3478
699950,107593
1.09E+06,8113
290000,33919
375000,10005
460000,4005
188500,2493
680000,28037
470000,12342
597750,9624
570000,3328
272500,12600
329950,5969
480000,16171
740500,6350
518500,1102
205425,6780
171800,9600
535000,2982
660000,6474
391500,9132
395000,6000
445000,4400
770000,10204
1.45E+06,17789
445000,8201
260000,8811
822500,4960
430000,4310
212000,7875
660500,9603
784000,111078
453246,2287
675000,2278
199000,17390
220000,7840
452000,10002
382500,4440
519950,1249
665000,3200
527700,9375
205000,8579
420000,8097
500000,8517
921500,315374
890000,4000
430000,60984
258000,12500
511000,3455
532170,3090
560000,5000
282950,8200
2.25E+06,19850
350000,5100
215000,7669
650000,25245
320000,7500
247000,7198
320000,11180
255000,8632
438000,9660
900000,16603
441000,7280
420000,38332
370000,7000
269950,7250
807100,4499
653000,9750
371500,8336
284000,21000
272000,7140
313000,7912
917500,35003
673000,8190
425000,1100
399950,5400
385000,4800
269950,7560
330000,8220
260000,5797
470000,5125
589000,9600
163500,3419
835000,13412
1.10E+06,12850
269000,10000
560000,8744
615000,2400
585188,10026
305000,9480
