price,yr_built
221900,1955
538000,1951
180000,1933
604000,1965
510000,1987
1.23E+06,2001
257500,1995
291850,1963
229500,1960
323000,2003
662500,1965
468000,1942
310000,1927
400000,1977
530000,1900
650000,1979
395000,1994
485000,1916
189000,1921
230000,1969
385000,1947
2.00E+06,1968
285000,1995
252700,1985
329000,1985
233000,1941
937000,1915
667000,1909
438000,1948
719000,2005
580500,2003
280000,2005
687500,1929
535000,1929
322500,1981
696000,1930
550000,1933
640000,1904
240000,1969
605000,1996
625000,2000
775000,1984
861990,2014
685000,1922
309000,1959
488000,2003
210490,1966
785000,1981
450000,1953
1.35E+06,1953
228000,1955
345000,1966
600000,1950
585000,1981
920000,1927
885000,1995
292500,2008
301000,2003
951000,1968
430000,1991
650000,1959
289000,1954
505000,1973
549000,2014
425000,1979
317625,1925
975000,1989
287000,2005
204000,1968
1.33E+06,1965
1.04E+06,1973
325000,1972
571000,1916
360000,2005
349000,1965
832500,1986
380000,1956
480000,1941
410000,1956
720000,2002
390000,2003
360000,1992
355000,1948
356000,1964
315000,1952
940000,1925
305000,1961
461000,2006
215000,1979
335000,2006
243500,1988
1.10E+06,2001
153000,1962
430000,1939
700000,1939
905000,1946
247500,1967
199000,1975
314000,1980
437500,1992
850830,1910
555000,1929
699950,1983
1.09E+06,1950
290000,1954
375000,1978
460000,1939
188500,1985
680000,1991
470000,1942
597750,1984
570000,1905
272500,1980
329950,1971
480000,2001
740500,1900
518500,2010
205425,1945
171800,1950
535000,1925
660000,1964
391500,1987
395000,1953
445000,1924
770000,1990
1.45E+06,1914
445000,1967
260000,1978
822500,1926
430000,2004
212000,1986
660500,1986
784000,1989
453246,2014
675000,2005
199000,1956
220000,1968
452000,1968
382500,1981
519950,2014
665000,1925
527700,1968
205000,1962
420000,1923
500000,1961
921500,1994
890000,1905
430000,2007
258000,1960
511000,1947
532170,1990
560000,1947
282950,1954
2.25E+06,2006
350000,1942
215000,1967
650000,1996
320000,1967
247000,1916
320000,1968
255000,1962
438000,1962
900000,2000
441000,1979
420000,1975
370000,1976
269950,1949
807100,1999
653000,1979
371500,1964
284000,1954
272000,1978
313000,1955
917500,1984
673000,1980
425000,2008
399950,1986
385000,1901
269950,1975
330000,1949
260000,1988
470000,1925
589000,1961
163500,1996
835000,1993
1.10E+06,1986
269000,1969
560000,1987
615000,1901
585188,1975
305000,1977
166950,1959
799000,1959
400000,1962
230000,1948
256883,2003
423000,1920
465000,2007
440000,1997
385000,1969
210000,1943
297000,1994
470000,1952
226500,1976
274250,1962
840000,1966
677900,2010
425000,1915
180250,1941
464000,1920
320000,1993
625504,2014
592500,1983
465000,2005
477000,1978
280000,1923
1.51E+06,1957
445838,2000
1.07E+06,1947
467000,1947
686000,1999
279950,1961
527000,1987
325000,1966
328000,1994
390000,1942
479950,2005
264950,1978
235000,1961
516500,2004
655000,1915
500000,1960
315000,1978
213000,1961
475000,1947
1.03E+06,1983
416000,1976
410000,1904
800000,1993
472000,1965
225000,1968
210000,1940
455000,1925
225000,1954
480000,1918
363000,1990
2.40E+06,2000
181000,1954
250000,1976
481000,1918
260000,1978
455000,2001
415000,1991
349500,1953
245000,1987
592500,1928
385000,1955
315000,1974
255000,1979
693000,2006
780000,1911
237000,1960
525000,1979
425000,1930
369900,1936
290000,1988
285000,1954
415000,1937
272500,1979
2.90E+06,1982
1.37E+06,1989
