
1, France (FRA)[a],29,44,39,"112
"
2, United States (USA)[a],19,14,15,"48
"
3, Great Britain (GBR)[a],16,7,9,"32
"
4, Belgium (BEL),6,5,5,"16
"
5, Mixed team (ZZX),6,3,3,"12
"
6, Switzerland (SUI),6,2,1,"9
"
7, Germany (GER),4,3,2,"9
"
8, Italy (ITA),3,2,0,"5
"
9, Australia (AUS)[a],2,0,3,"5
"
10, Denmark (DEN)[a],1,3,2,"6
"
11, Hungary (HUN),1,2,2,"5
"
12, Cuba (CUB),1,1,0,"2
"
13, Canada (CAN),1,0,1,"2
"
14, Spain (ESP),1,0,0,"1
"
15, Austria (AUT),0,3,3,"6
"
16, Norway (NOR),0,2,3,"5
"
 Netherlands (NED)[a],0,2,3,"5
"
18, India (IND),0,2,0,"2
"
19, Bohemia (BOH)[a],0,1,1,"2
"
20, Mexico (MEX),0,0,1,"1
"
 Sweden (SWE)[a],0,0,1,"1
"

